Fri Oct 17 11:15:34 2025    profiling\profile.bin

         8254009 function calls (8246265 primitive calls) in 19.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    347/1    0.020    0.000   19.680   19.680 {built-in method builtins.exec}
        1    0.000    0.000   19.680   19.680 <frozen runpy>:201(run_module)
        1    0.000    0.000   19.673   19.673 <frozen runpy>:65(_run_code)
        1    0.000    0.000   19.673   19.673 __main__.py:1(<module>)
        1    0.003    0.003   11.272   11.272 simulation.py:11(__init__)
        1    0.050    0.050   11.250   11.250 simulation.py:126(simulate_n_steps)
    43830    5.840    0.000   10.643    0.000 simulation.py:44(a)
     8766    0.377    0.000    8.915    0.001 simulation.py:108(rk4_step)
        1    0.037    0.037    7.538    7.538 visualization.py:59(start)
      143    5.233    0.037    5.813    0.041 visualization.py:167(draw_frame)
   876600    2.460    0.000    4.424    0.000 _linalg.py:2623(norm)
       37    0.003    0.000    1.522    0.041 __init__.py:1(<module>)
   876601    1.039    0.000    1.039    0.000 {method 'dot' of 'numpy.ndarray' objects}
    335/6    0.003    0.000    0.877    0.146 <frozen importlib._bootstrap>:1349(_find_and_load)
    332/6    0.002    0.000    0.876    0.146 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    326/6    0.002    0.000    0.874    0.146 <frozen importlib._bootstrap>:911(_load_unlocked)
    265/5    0.001    0.000    0.873    0.175 <frozen importlib._bootstrap_external>:1020(exec_module)
   773/15    0.001    0.000    0.870    0.058 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.800    0.800    0.805    0.805 {built-in method pygame.base.init}
      715    0.529    0.001    0.529    0.001 {built-in method pygame.draw.lines}
        1    0.000    0.000    0.517    0.517 simulation.py:1(<module>)
   383/26    0.000    0.000    0.366    0.014 {built-in method builtins.__import__}
   286/77    0.001    0.000    0.350    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   876600    0.234    0.000    0.348    0.000 _linalg.py:187(isComplexType)
        1    0.000    0.000    0.344    0.344 visualization.py:1(<module>)
   876600    0.307    0.000    0.307    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      266    0.004    0.000    0.289    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.287    0.287 data.py:1(<module>)
        1    0.000    0.000    0.268    0.268 pkgdata.py:1(<module>)
  1753716    0.243    0.000    0.243    0.000 {built-in method builtins.issubclass}
      143    0.002    0.000    0.229    0.002 visualization.py:83(handle_input)
      143    0.225    0.002    0.225    0.002 {built-in method pygame.event.get}
      267    0.002    0.000    0.201    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
  850/719    0.015    0.000    0.177    0.000 {built-in method builtins.__build_class__}
      143    0.077    0.001    0.170    0.001 visualization.py:329(rebuild_trail_cache)
      267    0.169    0.001    0.169    0.001 {built-in method _io.open_code}
    43830    0.118    0.000    0.153    0.000 numeric.py:98(zeros_like)
   876620    0.141    0.000    0.141    0.000 {built-in method numpy.asarray}
        1    0.127    0.127    0.127    0.127 {built-in method pygame.base.quit}
      333    0.005    0.000    0.127    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
   262980    0.127    0.000    0.127    0.000 {built-in method numpy.zeros}
      143    0.006    0.000    0.118    0.001 visualization.py:220(draw_info)
      316    0.000    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      316    0.001    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
   876600    0.114    0.000    0.114    0.000 _linalg.py:2619(_norm_dispatcher)
  326/313    0.001    0.000    0.107    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      504    0.006    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
18516/18100    0.006    0.000    0.106    0.000 {built-in method builtins.hasattr}
        1    0.101    0.101    0.102    0.102 {built-in method pygame.display.set_mode}
      5/4    0.000    0.000    0.100    0.025 __init__.py:416(__getattr__)
      5/4    0.000    0.000    0.098    0.024 __init__.py:71(import_module)
      5/4    0.000    0.000    0.098    0.024 <frozen importlib._bootstrap>:1375(_gcd_import)
        2    0.000    0.000    0.096    0.048 _model_construction.py:80(__new__)
        1    0.000    0.000    0.096    0.096 __config__.py:1(<module>)
        1    0.000    0.000    0.096    0.096 main.py:1(<module>)
    43/41    0.000    0.000    0.093    0.002 <frozen importlib._bootstrap_external>:1318(create_module)
    43/41    0.077    0.002    0.093    0.002 {built-in method _imp.create_dynamic}
     8766    0.047    0.000    0.092    0.000 shape_base.py:220(vstack)
     1226    0.001    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1234    0.089    0.000    0.089    0.000 {built-in method nt.stat}
      143    0.014    0.000    0.088    0.001 visualization.py:314(update_trail_cache)
      143    0.064    0.000    0.064    0.000 {built-in method pygame.display.flip}
        1    0.000    0.000    0.064    0.064 _arraypad_impl.py:1(<module>)
        2    0.000    0.000    0.063    0.031 __init__.py:3643(_call_aside)
